client_id,district_id,client_age,client_gender,age_group,district_name,region,pop_size,no_of_municip<499,no_of_municip<2000,no_of_municip<10000 ,no_of_municip>10000,no_cities,ratio_urban,avg_salary,unemploymant_95,unemploymant_96,no_of_enterpreneurs,no_crimes_95,no_crimes_96,disp_id,account_id,disp_type,card_id,card_type,card_issued,card_issue_year,card_issue_month,statement_freq,account_date,loan_id,amount_x,duration,payments,status,loan_month,loan_year,tot_trans_amount,tot_trans_count,tot_order_amount,tot_order_count,amount_y,ord_HOUSEHOLD_PAYMENT,ord_INSURANCE_PAYMENT,ord_LEASING_PAYMENT,ord_LOAN_PAYMENT,ord_UNKNOWN,LOS,Target
1,18,29.0,F,20.0,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,1,1,OWNER,,,,,,monthly issuance,1995-03-24,,,,,,,,375174.4999999998,239,2452.0,1.0,2452.0,2452.0,0.0,0.0,0.0,0.0,5.0,
2,1,55.0,M,50.0,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,2,2,OWNER,,,,,,monthly issuance,1993-02-26,4959.0,80952.0,24.0,3373.0,A,1.0,1994.0,3151479.3000000017,478,10638.7,2.0,10638.7,7266.0,0.0,0.0,3372.7,0.0,7.0,1.0
3,1,59.0,F,50.0,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,3,2,DISPONENT,,,,,,monthly issuance,1993-02-26,4959.0,80952.0,24.0,3373.0,A,1.0,1994.0,3151479.3000000017,478,10638.7,2.0,10638.7,7266.0,0.0,0.0,3372.7,0.0,7.0,1.0
4,5,43.0,M,40.0,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,4,3,OWNER,,,,,,monthly issuance,1997-07-07,,,,,,,,295021.80000000005,117,5001.0,3.0,5001.0,1135.0,3539.0,0.0,0.0,327.0,2.0,
5,5,40.0,F,40.0,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,5,3,DISPONENT,,,,,,monthly issuance,1997-07-07,,,,,,,,295021.80000000005,117,5001.0,3.0,5001.0,1135.0,3539.0,0.0,0.0,327.0,2.0,
6,12,80.0,M,80.0,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,6,4,OWNER,,,,,,monthly issuance,1996-02-21,,,,,,,,350971.3999999999,186,3363.0,2.0,3363.0,3363.0,0.0,0.0,0.0,0.0,4.0,
7,15,71.0,M,70.0,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,7,5,OWNER,,,,,,monthly issuance,1997-05-30,,,,,,,,166881.40000000008,84,2668.0,1.0,2668.0,2668.0,0.0,0.0,0.0,0.0,3.0,
8,51,62.0,F,60.0,Trutnov,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,8,6,OWNER,,,,,,monthly issuance,1994-09-27,,,,,,,,647567.0999999994,246,3954.0,1.0,3954.0,3954.0,0.0,0.0,0.0,0.0,5.0,
9,60,64.0,M,60.0,Prostejov,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,9,7,OWNER,1.0,gold,1998-10-16,1998.0,10.0,monthly issuance,1996-11-24,,,,,,,,1192039.9,130,4880.0,1.0,4880.0,4880.0,0.0,0.0,0.0,0.0,3.0,
10,57,57.0,M,50.0,Hodonin,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,10,8,OWNER,,,,,,monthly issuance,1995-09-21,,,,,,,,1712906.1000000008,254,9324.0,2.0,9324.0,2612.0,0.0,0.0,0.0,6712.0,4.0,
